"Account","Профайл"
"Cart","Кошик"
"Checkout","Оформити замовлення"
"Log In","Увійти"
"View Shopping Cart","Подивитися кошик"
"Edit item","Редагувати"
"Update Cart","Оновити кошик"
"Empty Cart","Очистити кошик"
"Estimate","Вирахувати"
"Shopping Cart is Empty","Кошик пустий"
"You have no items in your shopping cart.","У Вас немає товарів у кошику."
"Click <a href=""%s"">here</a> to continue shopping.","Натисніть <a href=""%s"">сюди</a>, щоб продовжити покупки"
"If you have an account with us, please log in.","Увійдіть якщо у Вас є профіль"
"Forgot Your Password?","Забули пароль?"
"New Here?","Вперше на сайті?"
"Login or Create an Account","Сторінка авторизації"
"Registration is free and easy!","Реєстрація безкоштовна і проста!"
"Faster checkout","Швидка покупка"
"Save multiple shipping addresses","Мультидоставка"
"View and track orders and more","Перегляд замовлень і багато іншого"
"Please enter the following information to create your account.","Будь ласка введіть данні"
"Sign Up for Newsletter","Підписка на новини"
"Billing Agreements","Биллінг умови"
"Recurring Profiles","Recurring профайл"
"My Product Reviews","Мої огляди продуктів"
"My Applications","Мої додатки"
"Newsletter Subscriptions","Підписка нановини"
"My Downloadable Products","Завантажувані продукти"
"Address Book", "Адресна книга"
"Compare","Порівняти"
"You're reviewing:","Ви пишете відгук на товар:"
"Let us know your thoughts","Дозвольте нам дізнатися вашу думку"
"What's your nickname?","Ваш Нікнейм?"
"We recommend","Ми рекомендуемо"
"Sort By", "Тип сортування"
"The product %s has been added to comparison list.","Продукт %s був добавлений в список порівняння."
"The product %s has been removed from comparison list.","Продукт %s був видалений з списку порівняння"
"%s was added to your shopping cart.","Продукт %s додано до кошику."
"Checkout Method","Метод оформлення замовлення"
"Register and Checkout","Зареєструйтеся і оформіть замовлення"
"Returning Customers","Постійні клієнти"
"Sign in to speed up your checkout process","Увійдіть щоб прискорити оформлення замовлення"
"My Dashboard","Моя панель управління"
"You have not set a default shipping address.","У Вас нема адреси доставки по замовчуванню."
"You have not set a default billing address.","У Вас нема адреси платника по замовчуванню."
"The account information has been saved.","Информація аккаунта збережена."
"The address has been saved.","Адреса збережена."
"The address has been deleted.","Адреса видалена."
"There are no billing agreements yet.","У Вас нема биллінг умов."
"There are no recurring profiles yet.","У Вас нма Recurring профайлу."
"You have no applications.","У Вас нема додатків."
"The subscription has been removed.","Підписка видалена."
"The subscription has been saved.","Підписка збережена."
"Last Ordered Items","Останні замовлені товари"
"Ship To","Отримувач"
"Please enter your email address below. You will receive a link to reset your password.","Будь ласка введіть елемтронну адресу. Вам буде надіслано лінку для скидання пароля"
"You are now logged out","Ви вийшли із свого аккаунту"
"You have logged out and will be redirected to our homepage in 5 seconds.","Ви вийшли і вас буде перенаправлено на домашню сторінку через 5 секунд"
"Your order has been received.","Ваше замовлення відправлено."
"%s was updated in your shopping cart.","%s був оновлений в кошику."
"Street Address %s","Адреса %s"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Якщо існує обліковий запис, пов'язаний з %s, то Ви отримаєте електронного листа з посиланням для скидання паролю."
"Item in your order","Продукти"
"Items in your order","Продукти"
"New Order #%s","Нове замовлення #%s"
