"Account","Профайл"
"Cart","Корзина"
"Checkout","Чекаут"
"Log In","Войти"
"View Shopping Cart","Просмотреть корзину"
"Edit item","Редактировать"

"Update Cart","Обновить корзину"
"Empty Cart","Очистить корзину"
"Estimate","Рассчитать"
"Shopping Cart is Empty","Корзина пустая"
"You have no items in your shopping cart.","У Вас нет товаров в корзине."
"Click <a href=""%s"">here</a> to continue shopping.","Нажмите <a href=""%s"">сюда</a>, чтоб продолжить покупки"


"If you have an account with us, please log in.","Войдите, если у Вас есть аккаут."
"Forgot Your Password?","Забыли пароль?"
"New Here?","Впервые на сайте?"
"Login or Create an Account","Страница авторизации"
"Registration is free and easy!","Регистрация бесплатная и простая!"
"Faster checkout","Быстрая покупка"
"Save multiple shipping addresses","Мутидоставка"
"View and track orders and more","Просмотр ордеров и многое другое"
"Please enter the following information to create your account.","Пожалуйста введите данные"
"Sign Up for Newsletter","Подписка на новости"
"Billing Agreements","Биллинг условия"
"Recurring Profiles","Recurring профайл"
"My Product Reviews","Мои обзоры продуктов"
"My Applications","Мои приложения"
"Newsletter Subscriptions","Подписка на новости"
"My Downloadable Products","Скачиваемые продукты"


"Address Book", "Адресная книга"

"Compare","Сравнить"

"You're reviewing:","Вы пишете отзыв на товар:"
"Let us know your thoughts","Дайте нам знать о чем Вы думаете"
"What's your nickname?","Ваш Никнейм?"

"We recommend","Мы рекомендуем"
"Sort By", "Тип сортировки"
"The product %s has been added to comparison list.","Продукт %s был добавлен в лист сравнения."
"%s was added to your shopping cart.","Продукт %s добавлен в корзину."
"Checkout Method","Метод оформления заказа"
"Register and Checkout","Зарегистрироватся и оформить заказ"
"Returning Customers","Постоянные клиенты"
"Sign in to speed up your checkout process","Войдите чтоб ускорить оформление заказа"
"My Dashboard","Моя панель управления"
"You have not set a default shipping address.","У Вас нет адреса доставки по умолчанию."
"You have not set a default billing address.","У Вас нет адреса плательщика по умолчанию."
"The account information has been saved.","Информация аккаунта сохранена."
"The address has been saved.","Адрес сохранен."
"The address has been deleted.","Адрес удален."
"There are no billing agreements yet.","У Вас нет биллинг условий."
"There are no recurring profiles yet.","У Вас нет Recurring профайла."
"You have no applications.","У Вас нет приложений."
"The subscription has been removed.","Подписка удалена."
"The subscription has been saved.","Подписка сохранена."
